# ID<TAB>RAW_KO (\\n = real 0x0A in metadata; ko.txt shows these as " / ")
# join 时 KO 取 RAW，CN 中的 " / " 逐个转为 \n（个数必须一致）。
01d15cfc	너의 사악.. 아니 신성한 힘으로 \n저주받은 몬스터들을 구해주렴.
01d15e10	몬스터 상점에서 구입하면 \n높은 등급이 나올 확률이 높아.
01d15e1c	몬스터가 기절해도 걱정마. \n시간이 지나면 다시 정신을 차릴거야.
01d15e90	봉바 상점에서는 몬스터를 \n 바로 살수 있단다. 가끔 희귀한 몬스터도 나오지.
01d15eb8	새로운 보스난이도에 도전하면 \n몬스터들의 레벨한계제한이 더 높아지게돼.
01d15ec4	성장시키고 싶은 몬스터가 있다면 \n높은 등급으로 만들면 강한 몬스터가 될수 있어.
01d15ef4	스킬이 비어있습니다.\n위의 리셋버튼을 누르면 스킬을 배울수 있습니다.
01d15efc	스테이지 난이도가 높아지면 \n높은 등급의 몬스터가 나올 확률이 높아져.
01d15f44	어려운 스테이지일수록 몬스터도 \n높은 등급이 나올 확률이 높아.
01d15f74	오토버튼을 누르면 필드에서 \n자동으로 사냥을 할수 있어.
01d16014	제왕력 725년. 어느 마을에 죽은 이를 되살리는 능력을 가진 소녀가 있었다.\n하지만 그녀는 네크로맨서였고 그 소녀에 의해 되살려진 것은 그저 불사의 좀비일뿐이였다.\n마신의 은총을 받은 성녀이자 네크로맨서로 태어났지만\n그녀는 끝까지 자신을 성직자라고 착각하고 살고있다.
01d1603c	창創世神話によると、創造主が、\n'一人で'この世の中を作ったとしてい。
01d16048	창세신화에 따르면 창조주께서 \n무려 '혼자서' 이 세상을 만들었다고 하지.
